u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bridge,access,tunnel,junction
32927563,645557712,0,50690291,TRUE,5,I 80,San Francisco ??Oakland Bay Bridge,motorway,50 mph,74.966,"LINESTRING (-122.3909449 37.7859206, -122.3906766 37.7861291, -122.3903687 37.7864168)",,,,
33241803,2071244784,0,196831109,TRUE,,,Chestnut Street,residential,,20.325,"LINESTRING (-122.4034504 37.8050417, -122.4035484 37.8049886, -122.4036563 37.8049634)",,,,
33241803,9209919063,0,997431145,FALSE,,,,residential,,12.52,"LINESTRING (-122.4034504 37.8050417, -122.4033695 37.8051084, -122.4033518 37.805123)",,,,
33241803,8865870141,0,"[1060013921, 992135723]",TRUE,"['2', '3']",,The Embarcadero,primary,30 mph,30.791,"LINESTRING (-122.4034504 37.8050417, -122.4033332 37.8049568, -122.4031918 37.8048548)",,,,
33242031,65292114,0,5004035,FALSE,,,Macondray Lane,residential,,75.108,"LINESTRING (-122.4164837 37.7990541, -122.417328 37.7989484)",,,,
54891208,54891397,0,514605580,FALSE,2,,4th Street,residential,,101.12,"LINESTRING (-122.3911917 37.7705805, -122.3911868 37.7705293, -122.3911151 37.7697816, -122.3911048 37.7696737)",,,,
54891208,317126597,0,"[681499272, 514606777, 681499273]",FALSE,"['2', '3']",,4th Street,residential,,46.647,"LINESTRING (-122.3911917 37.7705805, -122.3911972 37.770638, -122.3912133 37.7708076, -122.3912166 37.7708402, -122.3912183 37.7708567, -122.3912271 37.7709495, -122.3912318 37.7709988)",,,,
54891208,293818036,0,"[681500369, 619568413, 530592671]",TRUE,"['1', '2']",,Mission Bay Boulevard South,tertiary,,141.321,"LINESTRING (-122.3911917 37.7705805, -122.3910745 37.7705875, -122.3905545 37.7706187, -122.3901529 37.7706427, -122.3900422 37.7706494, -122.3896941 37.7706703, -122.389651 37.7706729, -122.3895885 37.7706766)",,,,
54891395,54891397,0,7448875,FALSE,,,Nelson Rising Lane,residential,,146.52,"LINESTRING (-122.3927659 37.7695721, -122.3926469 37.7695896, -122.3917695 37.76964, -122.3912582 37.7696694, -122.391226 37.7696713, -122.3911048 37.7696737)",,,,
54891395,1998017252,0,189149478,FALSE,,,Nelson Rising Lane,unclassified,,146.569,"LINESTRING (-122.3927659 37.7695721, -122.3936608 37.7695188, -122.3938759 37.769506, -122.3944287 37.7694731)",,,,
54891395,984774300,0,246954165,FALSE,2,,Merrimac Street,unclassified,,101.335,"LINESTRING (-122.3927659 37.7695721, -122.3928202 37.7701365, -122.3928481 37.7704263, -122.3928533 37.7704808)",,,,
54891397,54891395,0,7448875,FALSE,,,Nelson Rising Lane,residential,,146.52,"LINESTRING (-122.3911048 37.7696737, -122.391226 37.7696713, -122.3912582 37.7696694, -122.3917695 37.76964, -122.3926469 37.7695896, -122.3927659 37.7695721)",,,,
54891397,300455591,0,82487553,FALSE,2,,4th Street,residential,,212.056,"LINESTRING (-122.3911048 37.7696737, -122.3910932 37.7695537, -122.391025 37.7688416, -122.3910169 37.7687574, -122.3910083 37.7686673, -122.3909995 37.7685764, -122.3909861 37.768436, -122.3909348 37.7679015, -122.3909224 37.7677721)",,,,
54891397,54891208,0,514605580,FALSE,2,,4th Street,residential,,101.12,"LINESTRING (-122.3911048 37.7696737, -122.3911151 37.7697816, -122.3911868 37.7705293, -122.3911917 37.7705805)",,,,
54891397,6424341847,0,620728098,FALSE,,,Nelson Rising Lane,residential,,141.306,"LINESTRING (-122.3911048 37.7696737, -122.3909811 37.7696762, -122.3909569 37.7696777, -122.390622 37.7696973, -122.3900732 37.7697295, -122.3895918 37.7697578, -122.3895626 37.7697595, -122.3895013 37.7697631)",,,,
