LINK_ID,geometry
1220021100,"LINESTRING (127.0298417601204 37.49348985060014, 127.02963838027878 37.4939043650449, 127.0294350017265 37.49432788918005, 127.0293333133515 37.49454415613948, 127.0292316208787 37.49475141293561, 127.02902823424792 37.495165926244105, 127.02882484883317 37.49558944924109, 127.02863276948214 37.49601296911817, 127.02862146456124 37.49602198192464, 127.0284293795397 37.496436491375306, 127.0282259839102 37.496851003187814, 127.02802258940027 37.49727452468623, 127.02781919259434 37.49769804580496, 127.02767229033311 37.49799541242814)"
1220016200,"LINESTRING (127.03011279711298 37.492606794813064, 127.03031616717705 37.49218326939109, 127.03040654542464 37.49197601448476, 127.03050822722784 37.49175974651017, 127.03070028511124 37.491336223287554, 127.0308923482487 37.49093071987088, 127.03090365212965 37.49092170683977, 127.03109570563757 37.49049818291606, 127.03129906444217 37.49007465565561, 127.03149111355184 37.48965113103024, 127.0315476012922 37.48953398496144)"
1220020500,"LINESTRING (127.08676662458817 37.49392127061569, 127.08655225025812 37.49433589097403, 127.08634919209275 37.49475951271142, 127.0861461212883 37.495174124013765, 127.08595432554762 37.49556169653998, 127.085909113069 37.49557974955771, 127.08562655001418 37.49570609561247, 127.08540029163578 37.49562516880153, 127.08487992674846 37.49546336264282, 127.08435955396808 37.4952925441262, 127.08382787534012 37.49512173133418, 127.08330750731896 37.49495090816782, 127.08278714166464 37.494780082701595, 127.08226677837716 37.49460925493551, 127.08173510934465 37.49443843269379, 127.08121475081663 37.49426760027832, 127.08069439465554 37.49409676556316, 127.08016273282632 37.49392593622187, 127.07964238142486 37.493755096857555, 127.07951795511022 37.49371914039831)"
1220018600,"LINESTRING (127.07899760660784 37.49354829818474, 127.07852251114956 37.493395443742465, 127.07847726047254 37.493377453671634, 127.07794560877704 37.49320661432025, 127.07752706645553 37.49306272860795, 127.07742526740161 37.49303576515838, 127.07690492839333 37.4928649136971, 127.07638459175226 37.49269405993645, 127.07619229422643 37.49263111361833)"
1220017200,"LINESTRING (127.07567196082607 37.49246025670864, 127.07515162979297 37.4922893974997, 127.07515162979297 37.4922893974997, 127.07463130112716 37.49211853599151, 127.07411097482868 37.49194767218417, 127.07409966709018 37.49194767927704, 127.07357934318469 37.49177681312073, 127.07305902164657 37.491605944665324, 127.07270836980177 37.49148903004854)"
1220015600,"LINESTRING (127.07226708421845 37.49119196840904, 127.07183710970995 37.490894898227566, 127.07149766759588 37.4906698523011, 127.07139584822237 37.490615853433816, 127.07104510972317 37.490399823095494, 127.07094329956301 37.49035483390408, 127.07045685706044 37.49012086306976, 127.07024192243637 37.490021880232746, 127.06994783633907 37.48992294389152, 127.06942753591375 37.489752059367106, 127.06902034484668 37.4896171468223)"
1220013600,"LINESTRING (127.06847752439815 37.48954538208957, 127.06813825395918 37.48949151779323, 127.06792338945907 37.48946461129129, 127.06736925570944 37.489383837891644, 127.06723355131443 37.489365895044436, 127.06681512314933 37.48930306189068, 127.06626099973737 37.489231293360106, 127.06603482139262 37.48919537969032)"
1220012000,"LINESTRING (127.06549191243803 37.48901548036483, 127.06497162843104 37.4888445761748, 127.06445134679194 37.48867366968638, 127.06393106752068 37.488502760899614, 127.06390844540158 37.4884937630614, 127.06361436598726 37.48838580084226, 127.06343335929704 37.488277777233215, 127.06339942250426 37.48825977529379, 127.06302604316126 37.487971652571, 127.06299209147345 37.487935630364966, 127.06275447579402 37.487737535090325, 127.06261873034953 37.48766552648561, 127.06255085772496 37.48762952212436, 127.0623020119456 37.48752153266382, 127.06210973946897 37.48745856334521, 127.06160077358948 37.48727862822875, 127.06108050313838 37.48709869675819, 127.06056024245366 37.48692777306507, 127.06003997692623 37.48674783699742, 127.06001735580229 37.48673883841061, 127.05970066063637 37.486612857738535, 127.05955359892333 37.486522831153046, 127.05933867472014 37.48640580824363, 127.05912371568425 37.4862437345531, 127.05911240170288 37.486234730133276, 127.05892004320665 37.486054624594715, 127.05878421976715 37.48587449062185, 127.05847864048305 37.485496218826114, 127.05818436400703 37.485108930566156, 127.05795800009093 37.48481170908529)"
1220008200,"LINESTRING (127.05766372899024 37.48442441947909, 127.05738076747917 37.48403712362139, 127.05708650239939 37.48364983252163, 127.05706386885838 37.483622813199915, 127.05695070139801 37.483487716524294, 127.05671313618747 37.48331663917182, 127.05630587440184 37.48301049103858, 127.05588730959 37.482704346831525, 127.05546874819346 37.482398201123004, 127.05505019021216 37.48209205391308, 127.05463163564607 37.481785905201775, 127.05422439717141 37.481488759886474, 127.05380584933918 37.48118260821321, 127.05373797390045 37.481128578569326)"
1220007000,"LINESTRING (127.05328554385338 37.48086749088582, 127.05283311695365 37.4806064014559, 127.05236938720664 37.4803453152913, 127.0519169604072 37.48007521223737, 127.05145323712834 37.47981412244868, 127.05105737071939 37.47958003179922, 127.05100082295078 37.47955302594651, 127.05069545474694 37.47939097571098, 127.05051451260705 37.47931897247182, 127.05034488873318 37.479264984316664, 127.0499830360861 37.47916602693097, 127.04997172426881 37.47915702162341, 127.04966643145538 37.479103089793306, 127.0494289916834 37.479076159084926, 127.04932723352528 37.47906719151803, 127.04886366628175 37.47902233367497, 127.04830964747605 37.47896850093714, 127.04774432368248 37.478914670169495, 127.04768778905732 37.47890568290776, 127.04719028380542 37.478824791818944, 127.04663623965347 37.478725900777405, 127.04608219695912 37.478627007135266, 127.0455394669121 37.4785371166269, 127.04498542705181 37.47843821783688, 127.04494019882189 37.47842922495437, 127.04456705697409 37.47833926535194)"
