,FFS
1220021100,20.43
1220016200,25.72
1220020500,24.9
1220018600,25.76
1220017200,25.84
1220015600,22.96
1220013600,18.78
1220012000,25.37
1220008200,15.18
1220007000,21.56
1220008300,18.67
1220012100,26.87
1220013700,23.2
1220015700,19.09
1220017300,21.52
1220018700,30.14
1220020400,27.35
1220008000,31.95
1220010100,23.09
1220013300,24.56
1220010000,28.18
1220008100,28.05
1220012500,21.94
1220014300,30.71
1220018500,22.32
1220021300,16.98
1220022800,42.77
1220023500,51.28
1220022000,55.64
1220020200,47.42
1220020300,47.39
1220022100,54.91
1220023600,40.36
1220022700,31.33
1220021200,17.44
1220018400,21.35
1220014200,25.67
1220012400,29.71
1220010600,14.14
1220036600,27.28
1220034400,24.1
1220032200,23.04
1220029600,21.41
1220026200,28.6
1220022900,22.58
1220019800,16.69
1220013400,25.13
1220007200,14.25
1220006300,22.48
1220007700,18.24
1220019900,22.64
1220023000,23.2
1220026300,15.45
1220029700,23.61
1220032300,24.5
1220034500,31.69
1220036700,43.43
1220037100,53.06
1220016700,21.46
1220019100,24.9
1220020900,25.4
1220022600,21.2
1220024300,18.27
1220025700,40.1
1220024200,21.14
1220022500,23.31
1220020800,17.89
1220019000,22.15
1220016600,32.26
1220015400,24.99
1220034800,24.53
1220034600,23.56
1220034200,17.22
1220033600,18.61
1220032600,19.54
1220033700,20.38
1220034300,19.78
1220034700,26.12
1220034900,22.71
1220005900,31.71
1220006700,18.37
1220013900,43.09
1220013800,23.22
1220006600,27.94
1220005800,36.17
1220031400,22.61
1220030800,18.58
1220030000,22.41
1220029000,23.11
1220028200,11.63
1220027200,25.67
1220028300,20.94
1220029100,19.57
1220030100,23.03
1220030900,19.52
1220031500,27.13
1220031700,26.54
1220037400,24.04
1220003800,17.75
1220002500,93.33
1220001700,93.33
1230001500,84.0
1230001600,18.33
1220001800,89.67
1220003000,90.42
1220003900,58.5
1220005100,58.5
1210020000,19.71
1220034000,25.9
1220031800,21.96
1220029200,21.97
1220026600,18.95
1220024800,23.37
1220021800,19.74
1220018200,36.48
1220015000,22.61
1220012600,27.51
1220009400,19.05
1220009500,23.88
1220012700,26.81
1220015100,42.58
1220018300,18.53
1220021900,23.89
1220024900,22.63
1220026700,18.42
1220029300,23.77
1220031900,22.83
1220034100,20.66
1220024500,45.48
1220036400,17.86
1220035400,17.77
1220033400,21.45
1220031000,24.19
1220027600,23.3
1220025800,22.7
1220023100,21.72
1220019200,23.42
1220014000,28.19
