,tci
0,0.0
1,0.0
2,0.9042154955925926
3,0.9423331468591895
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,1.0
19,0.0
20,0.7112806106666666
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.9341198522374146
29,1.0
30,0.7192633997407407
31,0.9190963842539683
32,0.9921509226457657
33,0.0
34,1.0
35,0.0
36,0.9808248497839506
37,0.9370311975555555
38,0.540389236
39,1.0
40,0.8173929419438712
41,0.6133029311252677
42,1.0
43,0.7736703945138889
44,0.0
45,1.0
46,1.0
47,0.9620712368686869
48,0.8939823523302469
49,0.9908915622309693
50,0.0
51,0.0
52,1.0
53,1.0
54,0.0
55,0.0
56,0.7654539786616945
57,0.0
58,1.0
59,1.0
60,1.0
61,1.0
62,0.9579591547619047
63,1.0
64,0.920605625669192
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.8174491730773656
71,1.0
72,1.0
73,0.0
74,1.0
75,0.0
76,0.5448265434707548
77,1.0
78,0.7986100003885004
79,0.3531963768333333
80,0.0
81,1.0
82,0.0
83,0.992473843829846
84,1.0
85,1.0
86,1.0
87,0.0
88,0.8346816444733044
89,1.0
90,1.0
91,1.0
92,0.0
93,0.0
94,0.0
95,1.0
96,0.0
97,1.0
98,1.0
99,0.0
100,0.9256058003590912
101,0.6938713739152452
102,0.0
103,1.0
104,1.0
105,1.0
106,0.0
107,0.9983182137513524
108,0.8732800798148147
109,0.9051350577667611
110,1.0
111,1.0
112,0.0
113,0.0
114,0.0
115,1.0
116,0.0
117,0.9917064342932118
118,0.0
119,0.0
120,0.0
121,1.0
122,0.0
123,0.0
124,1.0
125,1.0
126,0.0
127,0.6828535878333334
128,1.0
129,1.0
130,0.0
131,0.8113035010555555
132,0.0
133,1.0
134,1.0
135,1.0
136,1.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,1.0
147,1.0
148,0.7195830561425316
149,0.8683975574891236
150,0.5610725713693806
151,1.0
152,0.86107510825
153,0.0
154,0.0
155,1.0
156,0.8184106991666666
157,1.0
158,1.0
159,0.8565516736626985
160,0.0
161,1.0
162,1.0
163,0.9254403695893497
164,0.0
165,1.0
166,1.0
167,1.0
168,0.9857386384457795
169,0.0
170,0.0
171,1.0
172,0.0
173,1.0
174,1.0
175,0.0
176,1.0
177,1.0
178,1.0
179,0.0
180,1.0
181,0.0
182,1.0
183,1.0
184,1.0
185,0.779774449
186,1.0
187,0.9055967655
188,0.0
189,0.0
190,1.0
191,1.0
192,0.0
193,0.0
194,0.0
195,1.0
196,0.8365650448648229
197,0.0
198,0.5431931528899938
199,0.0
200,0.7681225766111112
201,1.0
202,0.8475441388792976
203,0.8695936106222222
204,0.0
205,1.0
206,0.8033721230577999
207,0.6445336381527778
208,0.3991588983333333
209,0.0
210,0.5438092723333334
211,0.5444118922
212,0.0
213,0.8516221681666667
214,0.5444118922
215,0.0
216,0.0
217,0.0
218,0.5188368999583333
219,0.956268708
220,0.888746904
221,0.41561177608333333
222,0.0
223,0.0
224,0.0
225,0.0
226,0.41561177608333333
227,1.0
228,0.0
229,0.0
230,0.39220160216666666
231,0.0
232,0.361134191
233,1.0
234,0.8574654405389438
235,0.0
236,0.2990115305277778
237,1.0
238,1.0
239,0.0
240,1.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.6321391399999999
246,0.0
247,0.0
248,0.0
249,0.0
250,1.0
251,0.0
252,0.0
253,0.0
254,1.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.8971473033333333
262,0.0
263,0.0
264,1.0
265,1.0
266,0.0
267,1.0
268,1.0
269,0.0
270,0.0
271,0.9605981152380952
272,1.0
273,0.6405749565637732
274,0.0
275,0.0
276,0.7533978541666666
277,0.5318672180098059
278,0.0
279,0.7600383662730474
280,0.0
281,0.0
282,0.40627095716666667
283,1.0
284,0.0
285,0.0
286,1.0
287,1.0
288,0.8531327288170706
289,0.6888359728333333
290,0.756264025
291,1.0
292,0.8563861881085559
293,1.0
294,0.9764814220555555
295,0.8977081684275947
296,0.7731767688004971
297,0.0
298,0.9932676331111111
299,0.0
300,0.5926072380360472
301,0.930895815
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,1.0
314,0.0
315,0.0
316,0.0
317,1.0
318,0.0
319,1.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.9576769568399972
326,1.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,1.0
334,0.9610467049434234
335,0.9964322623809524
336,0.9824721673333333
337,1.0
338,0.9928155430334001
339,1.0
340,1.0
341,1.0
342,1.0
343,0.8968364572340226
344,1.0
345,0.9127798827774325
346,1.0
347,0.9964808854706168
348,0.9797799079930293
349,0.9539420188029636
350,1.0
351,0.9782772423093952
352,1.0
353,0.7865335175555557
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,0.0
363,1.0
364,0.0
365,0.0
366,0.0
367,0.0
368,1.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.7771512735653615
375,1.0
376,1.0
377,0.0
378,0.8613688590123457
379,0.9609149634188036
380,0.9684453456832439
381,0.9236296011190476
382,0.9584002047530865
383,1.0
384,0.9359900597685186
385,0.8624262559259259
386,0.9457678245105821
387,0.8802553227037038
388,0.6307825333492064
389,0.9130101281869281
390,0.9592291569135801
391,0.7395782584195403
392,0.8923315194900793
393,0.7864351097113996
394,0.715381358940527
395,0.909446029197995
396,0.7961285099831418
397,1.0
398,0.7760051812640425
399,0.9907098880208333
400,1.0
401,0.9658977938191214
402,0.7973320353821549
403,0.0
404,0.7206893583025823
405,0.9275839816666668
406,0.7516661658885777
407,0.8008857190026492
408,0.8117270414736777
409,0.7989047984387464
410,0.7699264761333334
411,0.7286807556206756
412,0.8765715724326685
413,0.5668209036764705
414,0.9048989309073594
415,0.7934575970595814
416,0.7407328388333334
417,0.8160902706984127
418,0.835477669812802
419,0.9604461715151515
420,0.6490678445502646
421,0.9180581760233918
422,0.8640080463671024
423,0.74473316025
424,0.7710790401851852
425,0.8047390790950617
426,0.8776795648877194
427,0.6963168807334785
428,0.8382226998558201
429,0.8827697477153972
430,0.8782415147779848
431,0.635431265316358
432,0.9366333342655894
433,0.6169222065185186
434,0.7661633313162394
435,1.0
436,0.8978027742769387
437,0.8538258573492064
438,0.8542727419675925
439,0.0
440,0.0
441,0.9308107465367965
442,0.8545724968737374
443,0.9185665404761904
444,0.741787613
445,0.97513688
446,0.8619198354050135
447,0.8857687543333334
